comment_sentence_id,class,category,category_encoded,partition,processed_text
1548,AbstractEngine,Summary,3,0,object serving base class engines
1550,AbstractHolidayCalendar,Summary,3,1,abstract interface create holidays following certain rules
1,AccessMixin,Summary,3,1,abstract cbv mixin gives access mixins customizable functionality
1552,AccessorCallableDocumenter,Summary,3,0,documenter lets us removes call method signature callable accessors like series plot
1558,AccessorDocumenter,Summary,3,1,specialized documenter subclass accessors
4212,Adadelta,Summary,3,0,implements adadelta algorithm proposed adadelta adaptive learning rate method arguments params iterable iterable parameters optimize dicts defining parameter groups rho float optional coefficient used computing running average squared gradients default 09 eps float optional term added denominator improve numerical stability default 1e 6 lr float optional coefficient scale delta applied parameters default 10 weight decay float optional weight decay l2 penalty default 0
4237,Adam,Summary,3,0,implements adam algorithm proposed adam method stochastic optimization arguments params iterable iterable parameters optimize dicts defining parameter groups lr float optional learning rate default 1e 3 betas tuple float float optional coefficients used computing running averages gradient square default 09 0999 eps float optional term added denominator improve numerical stability default 1e 8 weight decay float optional weight decay l2 penalty default 0 amsgrad boolean optional whether use amsgrad variant algorithm paper convergence adam beyond default false adam method stochastic optimization https arxiv org abs 14126980 convergence adam beyond https openreview net forum id ryqu7f rz
4273,Adamax,Summary,3,1,implements adamax algorithm variant adam based infinity norm proposed adam method stochastic optimization arguments params iterable iterable parameters optimize dicts defining parameter groups lr float optional learning rate default 2e 3 betas tuple float float optional coefficients used computing running averages gradient square eps float optional term added denominator improve numerical stability default 1e 8 weight decay float optional weight decay l2 penalty default 0
4296,AdaptiveMaxPool3d,Summary,3,0,applies 3d adaptive max pooling input signal composed several input planes output size x h x w input size number output features equal number input planes args output size target output size image form x h x w tuple h w single cube x x h w either int none means size input return indices true return indices along outputs useful pass nn maxunpool3d default false examples target output size 5x7x9 nn adaptivemaxpool3d 5 7 9 input torch randn 1 64 8 9 10 output input target output size 7x7x7 cube nn adaptivemaxpool3d 7 input torch randn 1 64 10 9 8 output input target output size 7x9x8 input torch randn 1 64 10 9 8 output input
5,AmbiguityError,Summary,3,1,one migration matches name prefix
2382,And,DevelopmentNotes,0,0,requires given class parseexpression found given order expressions may separated whitespace may constructed using operator may also constructed using operator suppress backtracking example integer word nums name expr oneormore word alphas expr integer id name expr name integer age easily written expr integer id name expr name integer age
7,AppConfigStub,Summary,3,1,stub appconfig provides label dict models
11,Archive,DevelopmentNotes,0,1,external api class encapsulates archive implementation
11,Archive,Summary,3,1,external api class encapsulates archive implementation
14,ArchiveIndexView,Summary,3,1,top level archive date based items
2408,Argument,Summary,3,0,arguments positional parameters command generally provide fewer features options infinite nargs required default parameters passed onwards parameter constructor
16,Atomic,Summary,3,1,guarantee atomic execution given block used decorator call wraps execution decorated function instance used context manager used context manager enter creates transaction savepoint depending whether transaction already progress exit commits transaction releases savepoint normal exit rolls back transaction savepoint exceptions possible disable creation savepoints goal ensure code runs within transaction without creating overhead stack savepoints identifiers maintained attribute connection none denotes absence savepoint allows reentrancy even atomicwrapper reused
50,AtomicTests,Summary,3,1,tests atomic decorator context manager tests make assertions internal attributes robust way ask database current transaction state since decorator syntax converted context manager see implementation basic tests decorator syntax bulk tests use context manager syntax
