comment_sentence_id,class,category,category_encoded,partition,processed_text
1548,AbstractEngine,Summary,3,0,object serv base class engin
1550,AbstractHolidayCalendar,Summary,3,1,abstract interfac creat holiday follow certain rule
1,AccessMixin,Summary,3,1,abstract cbv mixin give access mixin customiz function
1552,AccessorCallableDocumenter,Summary,3,0,document let us remov call method signatur callabl accessor like seri plot
1558,AccessorDocumenter,Summary,3,1,special document subclass accessor
4212,Adadelta,Summary,3,0,implement adadelta algorithm propos adadelta adapt learn rate method argument param iter iter paramet optim dict defin paramet group rho float option coeffici use comput run averag squar gradient default 09 ep float option term ad denomin improv numer stabil default 1e 6 lr float option coeffici scale delta appli paramet default 10 weight decay float option weight decay l2 penalti default 0
4237,Adam,Summary,3,0,implement adam algorithm propos adam method stochast optim argument param iter iter paramet optim dict defin paramet group lr float option learn rate default 1e 3 beta tupl float float option coeffici use comput run averag gradient squar default 09 0999 ep float option term ad denomin improv numer stabil default 1e 8 weight decay float option weight decay l2 penalti default 0 amsgrad boolean option whether use amsgrad variant algorithm paper converg adam beyond default fals adam method stochast optim http arxiv org ab 14126980 converg adam beyond http openreview net forum id ryqu7f rz
4273,Adamax,Summary,3,1,implement adamax algorithm variant adam base infin norm propos adam method stochast optim argument param iter iter paramet optim dict defin paramet group lr float option learn rate default 2e 3 beta tupl float float option coeffici use comput run averag gradient squar ep float option term ad denomin improv numer stabil default 1e 8 weight decay float option weight decay l2 penalti default 0
4296,AdaptiveMaxPool3d,Summary,3,0,appli 3d adapt max pool input signal compos sever input plane output size x h x w input size number output featur equal number input plane arg output size target output size imag form x h x w tupl h w singl cube x x h w either int none mean size input return indic true return indic along output use pass nn maxunpool3d default fals exampl target output size 5x7x9 nn adaptivemaxpool3d 5 7 9 input torch randn 1 64 8 9 10 output input target output size 7x7x7 cube nn adaptivemaxpool3d 7 input torch randn 1 64 10 9 8 output input target output size 7x9x8 input torch randn 1 64 10 9 8 output input
5,AmbiguityError,Summary,3,1,one migrat match name prefix
2382,And,DevelopmentNotes,0,0,requir given class parseexpress found given order express may separ whitespac may construct use oper may also construct use oper suppress backtrack exampl integ word num name expr oneormor word alpha expr integ id name expr name integ age easili written expr integ id name expr name integ age
7,AppConfigStub,Summary,3,1,stub appconfig provid label dict model
11,Archive,DevelopmentNotes,0,1,extern api class encapsul archiv implement
11,Archive,Summary,3,1,extern api class encapsul archiv implement
14,ArchiveIndexView,Summary,3,1,top level archiv date base item
2408,Argument,Summary,3,0,argument posit paramet command gener provid fewer featur option infinit narg requir default paramet pass onward paramet constructor
16,Atomic,Summary,3,1,guarante atom execut given block use decor call wrap execut decor function instanc use context manag use context manag enter creat transact savepoint depend whether transact alreadi progress exit commit transact releas savepoint normal exit roll back transact savepoint except possibl disabl creation savepoint goal ensur code run within transact without creat overhead stack savepoint identifi maintain attribut connect none denot absenc savepoint allow reentranc even atomicwrapp reus
50,AtomicTests,Summary,3,1,test atom decor context manag test make assert intern attribut robust way ask databas current transact state sinc decor syntax convert context manag see implement basic test decor syntax bulk test use context manag syntax
