comment_sentence_id,class,category,comment_sentence,partition,instance_type,outlier
1,AccessMixin,DevelopmentNotes,abstract cbv mixin that gives access mixins the same customizable,1,0,0
1,AccessMixin,Expand,abstract cbv mixin that gives access mixins the same customizable,1,0,0
1,AccessMixin,Parameters,abstract cbv mixin that gives access mixins the same customizable,1,0,0
1,AccessMixin,Summary,abstract cbv mixin that gives access mixins the same customizable,1,1,0
1,AccessMixin,Usage,abstract cbv mixin that gives access mixins the same customizable,0,0,0
2,AccessMixin,DevelopmentNotes,functionality.,1,0,0
2,AccessMixin,Expand,functionality.,1,0,0
2,AccessMixin,Parameters,functionality.,1,0,0
2,AccessMixin,Summary,functionality.,0,1,0
2,AccessMixin,Usage,functionality.,1,0,0
5,AmbiguityError,DevelopmentNotes,more than one migration matches a name prefix.,1,0,0
5,AmbiguityError,Expand,more than one migration matches a name prefix.,1,0,0
5,AmbiguityError,Parameters,more than one migration matches a name prefix.,1,0,0
5,AmbiguityError,Summary,more than one migration matches a name prefix.,1,1,0
5,AmbiguityError,Usage,more than one migration matches a name prefix.,0,0,0
7,AppConfigStub,DevelopmentNotes,stub of an appconfig.,0,0,0
7,AppConfigStub,Expand,stub of an appconfig.,0,0,0
7,AppConfigStub,Parameters,stub of an appconfig.,0,0,0
7,AppConfigStub,Summary,stub of an appconfig.,1,1,0
7,AppConfigStub,Usage,stub of an appconfig.,1,0,0
8,AppConfigStub,DevelopmentNotes,only provides a label and a dict of models.,0,0,0
8,AppConfigStub,Expand,only provides a label and a dict of models.,0,0,0
8,AppConfigStub,Parameters,only provides a label and a dict of models.,1,1,0
8,AppConfigStub,Summary,only provides a label and a dict of models.,0,0,0
8,AppConfigStub,Usage,only provides a label and a dict of models.,0,0,0
11,Archive,DevelopmentNotes,the external api class that encapsulates an archive implementation.,1,1,0
11,Archive,Expand,the external api class that encapsulates an archive implementation.,0,0,0
11,Archive,Parameters,the external api class that encapsulates an archive implementation.,0,0,0
11,Archive,Summary,the external api class that encapsulates an archive implementation.,1,1,0
11,Archive,Usage,the external api class that encapsulates an archive implementation.,0,0,0
14,ArchiveIndexView,DevelopmentNotes,top level archive of date based items.,0,0,0
14,ArchiveIndexView,Expand,top level archive of date based items.,1,0,0
14,ArchiveIndexView,Parameters,top level archive of date based items.,1,0,0
14,ArchiveIndexView,Summary,top level archive of date based items.,1,1,0
14,ArchiveIndexView,Usage,top level archive of date based items.,1,0,0
16,Atomic,DevelopmentNotes,guarantee the atomic execution of a given block.,1,0,0
16,Atomic,Expand,guarantee the atomic execution of a given block.,0,0,0
16,Atomic,Parameters,guarantee the atomic execution of a given block.,0,0,0
16,Atomic,Summary,guarantee the atomic execution of a given block.,1,1,0
16,Atomic,Usage,guarantee the atomic execution of a given block.,0,0,0
18,Atomic,DevelopmentNotes,"when it s used as a decorator, call wraps the execution of the",0,0,0
18,Atomic,Expand,"when it s used as a decorator, call wraps the execution of the",1,0,0
18,Atomic,Parameters,"when it s used as a decorator, call wraps the execution of the",1,0,0
