comment_sentence_id,class,category,category_encoded,partition,processed_text
1548,AbstractEngine,Summary,3,0,object serving base class engine
1550,AbstractHolidayCalendar,Summary,3,1,abstract interface create holiday following certain rule
1,AccessMixin,Summary,3,1,abstract cbv mixin give access mixins customizable functionality
1552,AccessorCallableDocumenter,Summary,3,0,documenter let u remove call method signature callable accessors like series plot
1558,AccessorDocumenter,Summary,3,1,specialized documenter subclass accessors
4212,Adadelta,Summary,3,0,implement adadelta algorithm proposed adadelta adaptive learning rate method argument params iterable iterable parameter optimize dicts defining parameter group rho float optional coefficient used computing running average squared gradient default 09 eps float optional term added denominator improve numerical stability default 1e 6 lr float optional coefficient scale delta applied parameter default 10 weight decay float optional weight decay l2 penalty default 0
4237,Adam,Summary,3,0,implement adam algorithm proposed adam method stochastic optimization argument params iterable iterable parameter optimize dicts defining parameter group lr float optional learning rate default 1e 3 beta tuple float float optional coefficient used computing running average gradient square default 09 0999 eps float optional term added denominator improve numerical stability default 1e 8 weight decay float optional weight decay l2 penalty default 0 amsgrad boolean optional whether use amsgrad variant algorithm paper convergence adam beyond default false adam method stochastic optimization http arxiv org ab 14126980 convergence adam beyond http openreview net forum id ryqu7f rz
4273,Adamax,Summary,3,1,implement adamax algorithm variant adam based infinity norm proposed adam method stochastic optimization argument params iterable iterable parameter optimize dicts defining parameter group lr float optional learning rate default 2e 3 beta tuple float float optional coefficient used computing running average gradient square eps float optional term added denominator improve numerical stability default 1e 8 weight decay float optional weight decay l2 penalty default 0
4296,AdaptiveMaxPool3d,Summary,3,0,applies 3d adaptive max pooling input signal composed several input plane output size x h x w input size number output feature equal number input plane args output size target output size image form x h x w tuple h w single cube x x h w either int none mean size input return index true return index along output useful pas nn maxunpool3d default false example target output size 5x7x9 nn adaptivemaxpool3d 5 7 9 input torch randn 1 64 8 9 10 output input target output size 7x7x7 cube nn adaptivemaxpool3d 7 input torch randn 1 64 10 9 8 output input target output size 7x9x8 input torch randn 1 64 10 9 8 output input
5,AmbiguityError,Summary,3,1,one migration match name prefix
2382,And,DevelopmentNotes,0,0,requires given class parseexpression found given order expression may separated whitespace may constructed using operator may also constructed using operator suppress backtracking example integer word nums name expr oneormore word alpha expr integer id name expr name integer age easily written expr integer id name expr name integer age
